,Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
1430,08/02/2021,19027,31,Carroll County,IA,51.7,10418,10418,61.6,10094,66.3,3902,93.6,97.4,10948.0,54.3,10948.0,64.7,10549.0,69.3,4018.0,96.3,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
1431,08/02/2021,UNK,31,Unknown County,MP,0.0,29509,29509,0.0,26872,0.0,2729,0.0,0.0,32496.0,0.0,32496.0,0.0,29023.0,0.0,2820.0,0.0,,,,,
1432,08/02/2021,51019,31,Bedford County,VA,18.0,14225,14214,20.5,13897,21.9,6081,35.2,51.2,16731.0,21.2,16709.0,24.1,16288.0,25.7,6763.0,39.2,Low,Low VC/Low SVI,Low VC/Low SVI,Low VC/Low SVI,Low-Mod VC/Low SVI
1433,08/02/2021,13295,31,Walker County,GA,16.7,11669,11667,19.4,11348,20.7,3917,29.7,54.1,13711.0,19.7,13706.0,22.8,13221.0,24.1,4530.0,34.3,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI
1434,08/02/2021,40007,31,Beaver County,OK,22.7,1203,1202,26.8,1180,30.1,547,52.0,93.5,1404.0,26.4,1404.0,31.3,1369.0,34.9,589.0,56.0,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
1435,08/02/2021,40049,31,Garvin County,OK,35.3,9772,9772,42.1,9568,45.8,3917,77.6,93.5,11320.0,40.9,11320.0,48.8,11009.0,52.7,4299.0,85.1,Mod-High,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
1436,08/02/2021,48191,31,Hall County,TX,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,,,,
1437,08/02/2021,37107,31,Lenoir County,NC,37.8,21124,21121,44.1,20630,47.5,8470,74.9,96.3,24630.0,44.0,24623.0,51.4,23877.0,55.0,9161.0,81.0,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
1438,08/02/2021,55055,31,Jefferson County,WI,45.8,38792,38792,52.6,36938,55.0,12067,80.6,97.0,41495.0,49.0,41492.0,56.2,39242.0,58.5,12466.0,83.2,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
1439,08/02/2021,54025,31,Greenbrier County,WV,32.8,11365,11359,37.6,10865,38.9,4493,55.2,57.7,13493.0,38.9,13480.0,44.6,12799.0,45.9,5061.0,62.2,Mod-High,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI
1440,08/02/2021,17193,31,White County,IL,35.1,4755,4749,41.1,4655,44.2,2156,74.5,97.7,5825.0,43.0,5815.0,50.3,5659.0,53.7,2565.0,88.7,Mod-High,Low-Mod VC/Mod-High SVI,Mod-High VC/Mod-High SVI,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI
1441,08/02/2021,19069,31,Franklin County,IA,43.1,4339,4339,50.6,4204,54.4,1769,82.2,97.4,4597.0,45.7,4597.0,53.7,4415.0,57.1,1818.0,84.5,Low,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
1442,08/02/2021,28067,31,Jones County,MS,28.1,19130,19130,33.7,18782,36.8,7957,67.3,98.3,21973.0,32.3,21972.0,38.7,21352.0,41.8,8610.0,72.8,High,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
1443,08/02/2021,37153,31,Richmond County,NC,34.5,15446,15440,40.6,15089,43.7,5968,72.9,96.3,17499.0,39.0,17485.0,46.0,16925.0,49.0,6243.0,76.3,High,Low-Mod VC/High SVI,Mod-High VC/High SVI,Mod-High VC/High SVI,High VC/High SVI
1444,08/02/2021,78030,31,St. Thomas Island,VI,0.0,15116,15113,0.0,14534,0.0,3840,0.0,84.3,18073.0,0.0,18063.0,0.0,17249.0,0.0,4320.0,0.0,,,,,
1445,08/02/2021,28161,31,Yalobusha County,MS,45.1,5461,5460,52.6,5367,56.8,2252,88.5,98.3,6119.0,50.5,6118.0,58.9,5970.0,63.2,2421.0,95.1,Mod-High,Mod-High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
